A,A_wells,A_area,B,B_wells,B_area,inter_km2,pct_of_smaller,pct_of_larger,jaccard
Canadian Natural Resources Limited,20769,554574.5,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,14.57,14.57
TAQA North Ltd.,898,443236.8,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,18.23,18.23
Lexin Resources Ltd.,852,334562.2,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,24.16,24.16
Blue Sky Resources Ltd.,983,376771.1,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,21.45,21.45
Vermilion Energy Inc.,321,323169.2,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,25.01,25.01
Canlin Energy Corporation,1376,356522.5,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,22.67,22.67
Paramount Resources Ltd.,1961,420095.3,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,19.24,19.24
Imperial Oil Resources Limited,1699,479238.5,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,16.86,16.86
Harvest Operations Corp.,2067,394311.8,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,20.5,20.5
Long Run Exploration Ltd.,1077,351216.8,Aspenleaf Energy Limited,317,80822.2,80822.2,100.0,23.01,23.01
Aspenleaf Energy Limited,317,80822.2,SanLing Energy Ltd.,1105,388237.4,80822.2,100.0,20.82,20.82
Aspenleaf Energy Limited,317,80822.2,ConocoPhillips Canada Resources Corp.,924,472212.7,80822.2,100.0,17.12,17.12
Aspenleaf Energy Limited,317,80822.2,Tourmaline Oil Corp.,1331,374838.5,80822.2,100.0,21.56,21.56
Aspenleaf Energy Limited,317,80822.2,Manitok Energy Inc.,482,332570.5,80822.2,100.0,24.3,24.3
Baytex Energy Ltd.,999,327003.4,Aspenleaf Energy Limited,317,80822.2,80816.4,99.99,24.71,24.71
NuVista Energy Ltd.,507,255357.2,Aspenleaf Energy Limited,317,80822.2,80813.6,99.99,31.65,31.65
Prairie Provident Resources Canada Ltd.,977,403193.9,Aspenleaf Energy Limited,317,80822.2,80804.3,99.98,20.04,20.04
Journey Energy Inc.,408,156544.0,Gear Energy Ltd.,677,155908.7,80684.6,51.75,51.54,34.81
